KIWI BOY (2) - collided after the start. Shifted in first turn making contact.,,,,,,,,
ELECTRIC DANCER (4) - collided after the start.,,,,,,,,
PODIUM PHOBIA (8) - slow away. Steadied off heels rounding the bend.,,,,,,,,
,,,,,,,,
,,,,,,,,
FULL RESULTS,Race 10,Hewlett Electrical Sprint,"C2 318 $1,685.00",,,,,
PLACE,DOG,BOX,SP,WEIGHT,BENDS,TRAINER,MARGIN,
,Talkabout Izzy,2,$13.90,27.5kg,,D Ray,,
Scratched,Bigtime Jacob,,,,,,,
,Rainy River,6,$13.60,28.8kg,,S E Hunt,,
,Choo Choo,7,$5.00,31.1kg,,G Farrell,,
,Our Greg,8,$5.00,35.1kg,,E Potts,,
Scratched,Big Time Rose,,,,,,,
,Ford Man,4,$13.40,33.0kg,,R & L Udy,,
,Botany Thommo,1,$3.80,31.2kg,,N P Green,,
,Stay Rich,3,$5.50,24.6kg,,M & J Smith,,
,Pliskova,5,$7.80,25.8kg,,S P Clark,,
Winners Time:,|,Margins:,|,,|,Raced by:,|,Trained by:
,,,,,,,,
,,,,,,,,
FULL RESULTS,Race 11,Mt Wellington TAB Stakes,"C4/5 527 $4,735.00",,,,,
PLACE,DOG,BOX,SP,WEIGHT,BENDS,TRAINER,MARGIN,
,Dig Dig Dig,,,,,S O'Neill,,
,Kiwi Gal,7,$8.30,,,J Udy & D Cottam,,
,Sefton Stan,6,$14.50,,,Sam Lozell,,
,Ti Amo,1,$5.80,,,B D F Craik,,
,Looking Snatched,4,$6.70,,,B D F Craik,,
,Busy Flash,,,,,W & T Steele,,
,Grunt,5,$6.30,,,W & T Steele,,
,Spring Mechanic,8,$10.00,,,R & L Udy,,
,Charlow,3,$6.00,,,R & N O'Regan,,
,He's All Shine,2,$3.90,,,Sam Lozell,,
Winners Time:,|,Margins:,|,,|,Raced by:,|,Trained by:
,,,,,,,,
,,,,,,,,
FULL RESULTS,Race 12,Jack's Wholesale Meats Sprint,"C1 318 $1,450.00",,,,,
PLACE,DOG,BOX,SP,WEIGHT,BENDS,TRAINER,MARGIN,
,Little Moo,7,$12.30,,,J Udy & D Cottam,,
,Asserting Power,6,$8.60,,,S O'Neill,,
,Bigtime Champ,5,$3.60,,,Agent/Williams,,
,Star Secret,3,$16.00,,,Agent/Williams,,
,Not Shackley,,,,,W & T Steele,,
,Fancy,4,$19.70,,,M Prangley,,
,Bigtime Silver,,,,,,,
,Paddy Fast,2,$2.20,,,M & J Smith,,
,Bailey And Cream,8,$11.70,,,R & L Udy,,
,Botany Rifles,1,$15.40,,,N P Green,,
Winners Time:,|,Margins:,|,,|,Raced by:,|,Trained by:
,,,,,,,,
The official website for Greyhound Racing New Zealand (GRNZ),,,,,,,,
Site MapTerms & ConditionsContact Us,,,,,,,,
"© Copyright 2017 GRNZ, All Rights Reserved.",,,,,,,,
