BRUT MAGIC (7) - came down the track early stages hampering inside runners.,,,,,,,,
,,,,,,,,
,,,,,,,,
FULL RESULTS,Race 12,TONI@BODYAUDITSOUTH PH021657001,"C1 390 $1,450.00",,,,,
PLACE,DOG,BOX,ODDS,WEIGHT,BENDS,TRAINER,MARGIN,
,Rocky Vincitore,7,,,,D J MacMillan,,
Scratched,Zefside,,,,,,,
,Lakota Scout,1,,,,H G Cairns,,
,Baldrick,3,,,,J T McInerney,,
,Take A Hint,2,,,,J T McInerney,,
Scratched,Mitcham Ryder,,,,,,,
Scratched,Homebush Fudge,,,,,,,
,Homebush Jordie,8,,,,J T McInerney,,
,Homebush Stasser,5,,,,J T McInerney,,
,Dusty's Ink,4,,,,B R Healey,,
Winners Time:,|,Margins:,|,,|,Raced by:,|,Trained by:
Race abandoned.,,,,,,,,
,,,,,,,,
,,,,,,,,
FULL RESULTS,Race 13,RACING AGAIN 18TH FEBRUARY,"C1 390 $1,450.00",,,,,
PLACE,DOG,BOX,ODDS,WEIGHT,BENDS,TRAINER,MARGIN,
,Shift The Blame,5,,,,J T McInerney,,
Scratched,Rocky Vincitore,,,,,,,
,Yi Feng,7,,,,J T McInerney,,
Scratched,Homebush Carl,,,,,,,
,Lakota Tonka,2,,,,H G Cairns,,
,Punch On Rex,4,,,,J T McInerney,,
,My Girl Sofia,6,,,,B R Healey,,
,Homebush Zack,8,,,,J T McInerney,,
,Father Leo,3,,,,J T McInerney,,
Scratched,Long Live Love,,,,,,,
Winners Time:,|,Margins:,|,,|,Raced by:,|,Trained by:
Race abandoned,,,,,,,,
,,,,,,,,
The official website for Greyhound Racing New Zealand (GRNZ),,,,,,,,
Site MapTerms & ConditionsContact Us,,,,,,,,
"© Copyright 2017 GRNZ, All Rights Reserved.",,,,,,,,
